ANO;ESTADO;PREÇO
2004;AC;2.39
2004;AC;2.44
2004;AC;2.44
2004;AC;2.44
2004;AC;2.44
2004;AC;2.44
2004;AC;2.48
2004;AC;2.51
2004;AC;2.52
2004;AC;2.52
2004;AC;2.55
2004;AC;2.54
2004;AC;2.54
2004;AC;2.55
2004;AC;2.55
2004;AC;2.57
2004;AC;2.57
2004;AC;2.57
2004;AC;2.57
2004;AC;2.57
2004;AC;2.62
2004;AC;2.47
2004;AC;2.49
2004;AC;2.48
2004;AC;2.48
2004;AC;2.54
2004;AC;2.61
2004;AC;2.64
2004;AC;2.64
2004;AC;2.64
2004;AL;2.09
2004;AL;2.09
2004;AL;2.09
2004;AL;2.09
2004;AL;2.09
2004;AL;2.12
2004;AL;2.22
2004;AL;2.21
2004;AL;2.21
2004;AL;2.21
2004;AL;2.21
2004;AL;2.22
2004;AL;2.22
2004;AL;2.21
2004;AL;2.21
2004;AL;2.21
2004;AL;2.21
2004;AL;2.2
2004;AL;2.21
2004;AL;2.21
2004;AL;2.21
2004;AL;2.21
2004;AL;2.24
2004;AL;2.26
2004;AL;2.3
2004;AL;2.3
2004;AL;2.3
2004;AL;2.3
2004;AL;2.37
2004;AL;2.45
2004;AL;2.44
2004;AL;2.45
2004;AP;2.18
2004;AP;2.24
2004;AP;2.24
2004;AP;2.29
2004;AP;2.34
2004;AP;2.38
2004;AP;2.4
2004;AP;2.41
2004;AP;2.41
2004;AP;2.4
2004;AP;2.4
2004;AP;2.38
2004;AP;2.4
2004;AP;2.4
2004;AP;2.41
2004;AP;2.41
2004;AP;2.4
2004;AP;2.35
2004;AP;2.4
2004;AP;2.41
2004;AP;2.4
2004;AP;2.45
2004;AP;2.46
2004;AP;2.34
2004;AP;2.33
2004;AP;2.33
2004;AP;2.5
2004;AP;2.47
2004;AP;2.45
2004;AM;2.04
2004;AM;2.04
2004;AM;2.05
2004;AM;2.04
2004;AM;2.06
2004;AM;2.06
2004;AM;2.19
2004;AM;2.19
2004;AM;2.19
2004;AM;2.19
2004;AM;2.2
2004;AM;2.2
2004;AM;2.2
2004;AM;2.21
2004;AM;2.23
2004;AM;2.24
2004;AM;2.25
2004;AM;2.25
2004;AM;2.26
